"pomme"	"pomme de terre"	"fruit"	"légume"
"akane"	"accord"	"abricot"	"ail cultivé"
"aldas"	"adirondack blue"	"airelle"	"ail d'Orient"
"alkmène"	"adora"	"alkékenge"	"ail rocambole"
"angold"	"adriana"	"amande"	"amarante"
"annurca"	"agata"	"amélanche"	"ansérine bon-henri"
"antonovka"	"agria"	"ananas"	"añu"
"api étoilée"	"alaska"	"arbouse"	"arachide"
"aport"	"albane"	"asimine"	"arroche"
"ariane"	"alcmaria"	"avocat"	"artichaut"
"arlet"	"alexia"	"banane"	"asperge"
"astrakan rouge"	"allians"	"bergamote"	"aubergine"
"belle de boskoop"	"alowa"	"bigarade"	"azuki"
"belle de boskoop rouge"	"altesse"	"bleuet"	"bambou"
"berlepsch"	"amandine"	"canneberge"	"banane"
"blenheim orange"	"amazone"	"cantaloup"	"banane plantain"
"borowitsky"	"amelie"	"cassis"	"bardane"
"braeburn"	"amflora"	"cerise"	"baselle"
"bramley's seedling"	"aminca"	"châtaigne"	"basilic"
"brite gold"	"amora"	"citron"	"bénincasa"
"calypso"	"amyla"	"clémentine"	"bette à carde"
"carola"	"anais"	"coing"	"betterave"
"charles ross"	"aniel"	"cornouiller du canada"	"blette"
"circe"	"annabelle"	"cynorrhodon"	"brèdes"
"clivia"	"anoe"	"datte"	"brocoli"
"colapuy"	"appell"	"épine-vinette"	"brocoli chinois"
"collina"	"apolline"	"feijoa"	"bunias d'Orient"
"constance"	"ariane"	"figue"	"calebasse"
"cox's orange pippin"	"arielle"	"figue de barbarie"	"canna comestible"
"cripps pinknote "	"armada"	"fraise"	"capucine tubéreuse"
"discovery"	"asterix"	"framboise"	"cardon"
"diva"	"atlas"	"grenade"	"carotte"
"ecolette"	"aubele"	"griotte"	"céleri"
"elstar"	"aurea"	"groseille"	"céleri-rave"
"empire"	"barima"	"jujube"	"cerfeuil tubéreux"
"enterprise"	"béa"	"kaki"	"châtaigne d'eau chinoise"
"era"	"belle de fontenay"	"kiwaï"	"châtaigne de terre"
"fameuse"	"bellona"	"kiwi"	"chayote"
"freedom"	"bernadette"	"lime"	"chénopode Bon-Henri"
"fuji"	"bf 15"	"mandarine"	"chervis"
"gala"	"bintje"	"marron"	"chia"
"geheimrat dr. oldenburg"	"blanche"	"melon"	"chicon"
"gloster "	"bleue d'auvergne"	"mûre"	"chicorée"
"goldrush"	"blondine"	"myrte"	"chou"
"golden delicious"	"blue congo"	"myrtille"	"chou de Bruxelles"
"golden noble"	"bonnotte de noirmoutier"	"nèfle"	"chou cabus"
"golden orange"	"cabaret"	"nèfle du japon"	"chou chinois"
"grand alexandre"	"caesar"	"noisette"	"chou-fleur"
"granny smith"	"cara"	"noix"	"chou frisé"
"gravenstein"	"casablanca"	"olive"	"chou-navet"
"honeycrunch"	"chacasina"	"orange"	"chou palmier"
"idared"	"challenger"	"pamplemousse"	"chou palmiste"
"jaune beurre"	"charlène"	"pastèque"	"chou de Pékin"
"jerseymac"	"charlotte"	"pêche"	"chou-rave"
"jolana"	"celtiane"	"brugnon"	"chou romanesco"
"jonafree"	"chérie"	"nectarine"	"christophine"
"jonagold"	"columbo"	"pavie"	"ciboule"
"jonagored"	"cooperation-88"	"physalis"	"ciboule de Chine"
"juliet"	"corne de bamberg"	"pistache"	"ciboulette"
"kaiser wilhelm"	"crisp4all"	"plaquebière"	"citrouille"
"kanzi"	"cultra"	"poire"	"claytone de Cuba"
"karneval"	"désirée"	"pomme"	"coqueret du Pérou"
"katja"	"diamant"	"pomélos"	"concombre"
"katka"	"early rose"	"prunes"	"cornichon"
"kidd's orange red"	"elodie"	"pruneaux"	"courge"
"lobo"	"estima"	"mirabelle"	"courgette"
"lord lambourne"	"europa"	"quetsche"	"courge cireuse"
"luna"	"fambo"	"reine-claude"	"courge musquée"
"merlijn"	"felsina"	"prune citron"	"courge de Siam"
"mcintosh"	"flourball"	"raisin"	"cresson alénois"
"modi"	"fontane"		"cresson de fontaine"
"northen greening"	"fortuna"		"cresson des jardins"
"ontario"	"franceline"		"cresson de terre"
"opal"	"galante"		"cresson d'hiver"
"sans pareil de peasgood"	"garnet chili"		"cresson de Para"
"pohorka"	"gloria"		"crosne du Japon"
"pomme empire"	"gourmandine"		"curcuma"
"pomme rambo"	"granola"		"dachine"
"priam"	"hankkijan tanu"		"daikon"
"prince albert de prusse"	"hankkijan timo"		"dolique asperge"
"rajka"	"harmony"		"dolique lablab"
"rambour d'été"	"hermes"		"échalote"
"rambour d'hiver"	"idole"		"endive"
"reanda"	"innovator"		"épinard"
"rebella"	"institut de beauvais"		"épinard de Malabar"
"recolor"	"jeannette"		"fenouil"
"red delicious"	"kaptah vandel"		"fève"
"red devil"	"kardal"		"ficoïde glaciale"
"red prince"	"katahdin"		"frisée"
"red windsor"	"kennebec"		"flageolet"
"redlove calypso"	"king edward"		"gesse"
"redlove circe"	"kufri bahar"		"gingembre"
"redlove era"	"kulta"		"glycine tubéreuse"
"redlove sirena"	"lady claire"		"gombo"
"red topaz"	"lady felicia"		"gourde"
"regine"	"lady cristl"		"grande bardane"
"reglindis"	"lady rosetta"		"grelos"
"reine des reinettes"	"lenape"		"guimauve officinale"
"reinette ananas"	"linda"		"gundelia"
"reinette de caux"	"lumper"		"haricot"
"reinette de landsberg"	"magnum bonum"		"haricot d'Espagne"
"reinette newtown"	"mandola"		"haricot de Lima"
"remo"	"marabel"		"haricot kilomètre"
"rene"	"marfona"		"haricot mungo"
"rewena"	"maris bard"		"hélianthi"
"rhode island greening"	"maris peer"		"hosta"
"ribston pippin"	"maris piper"		"houttuynia"
"rosana"	"markies"		"igname ailée"
"roter berlepsch"	"matilda"		"jacque"
"roter eiserapfel"	"melody"		"jujube"
"rozela"	"monalisa"		"komatsuna"
"roxbury russet"	"morene"		"kancon"
"rubisgold2,"	"mozart"		"konbu"
"rubinola"	"nadine"		"kale"
"rubinstar"	"nectar"		"laitue"
"sampion"	"nevsky"		"lentille"
"santana"	"newleaf"		"lys asiatique comestible"
"saturn"	"newleaf plus"		"liseron d'eau"
"sirena"	"nicola"		"luffa"
"spartan"	"olympia"		"maceron"
"topaz"	"opperdoezer ronde"		"mâcre bicorne"
"vanda"	"osiris"		"mâcre nageante"
"william's pride"	"ostara"		"mâche"
"winston"	"osprey"		"maïs doux"
"antarès"	"ozette"		"melon"
"argillière"	"pastusa suprema"		"mangue verte"
"ascahire"	"pentland dell"		"manioc"
"autento"	"pink fir apple"		"margose"
"azeroli anisé"	"pito"		"mauve"
"baguette d'été"	"pompadour"		"marron"
"baguette d'hiver"	"posmo"		"mizuna"
"baguette violette"	"premiere"		"momordique"
"belle de pontoise"	"producent"		"menthe"
"belle et bonne"	"puikula"		"navet"
"belle fille de la manche"	"quarantina bianca genovese"		"niébé"
"belle fille des salins"	"quarta"		"nombril de Vénus"
"belle-fille normande"	"ramos"		"oca du Pérou"
"belle fleur d'argonne"	"ratte"		"oignon"
"belle fleur double"	"red pontiac"		"oignon de Chine"
"belle fleur jaune"	"redstar"		"okra"
"blanc vert"	"record"		"onagre"
"bon père"	"rikea"		"ortie"
"bouvière"	"rocket"		"oseille"
"brown's seedling"	"romano"		"pak choï"
"cabarette"	"rooster"		"panais"
"cabassou"	"rosa"		"patate douce"
"cabusse"	"rosamunda"		"pâtisson"
"cagarlaou"	"roseval"		"persil"
"calville"	"royal"		"petit pois"
"calville blanc d'hiver"	"russet burbank"		"périlla"
"calville d'août"	"sabina"		"pe-tsaï"
"calville d'oullins"	"sagitta"		"physalis"
"calville rouge d'été"	"saphire"		"piment"
"calville rouge d'hiver"	"sarpo mira"		"pissenlit"
"calville saint-sauveur"	"sassy"		"poireau"
"cellini"	"satu"		"poirée"
"drap d'or"	"saturna"		"poire de terre"
"chantecler"	"saxon"		"pois sec"
"chataignier"	"schwarzblaue aus dem frankenwald"		"pois carré"
"châtaignier du loiret"	"shannon"		"pois chiche"
"châtaignier du marais vernier"	"shepody"		"pois d'Angole"
"châtaignier du mesnil"	"sieglinde"		"pois sabre"
"châtaignier tendre"	"siikli"		"poivron"
"choupette"	"sini"		"pomme de terre"
"claque pépin"	"spunta"		"potiron"
"cloche"	"sirtema"		"potimarron"
"colonel yate"	"stemster"		"pourpier"
"court-pendu"	"súper chola"		"radicchio"
"curé du bray"	"suvi"		"radis"
"delcorf"	"sylvana"		"radis noir"
"celeste deltana"	"turbo"		"radis serpent"
"cybele delrouval"	"ukama"		"radis du Japon"
"delbardivine delfloga"	"ulysse"		"raifort"
"jubilé delgollune"	"up to date"		"romaine"
"delflopion"	"vales sovereign"		"roquette"
"delbartardive deljorom"	"valor"		"rutabaga"
"delorina"	"van gogh"		"rhubarbe"
"double bon pommier"	"velox"		"salicorne"
"double bon pommier rouge"	"venla"		"salsifis"
"doucette"	"victoria"		"scarole"
"doux corier"	"vitabella"		"scorsonère"
"douzandin"	"vital"		"serpent végétal"
"chailleux"	"vitelotte noire"		"shiso"
"Écarlate d'hiver"	"vivaldi"		"soja"
"fenouillet gris"	"wilja"		"souchet comestible"
"florina"	"yukon gold"		"taro"
"gaillarde"			"tétragone cornue"
"galeuse"			"tinda"
"george cave"			"tomate"
"golchard"			"topinambour"
"gosselet"			"udo"
"gradirose"			"wakame"
"gradiyel"			"wasabi"
"grifer"			"yacón"
